variant,seed,metric,value
baseline,42,auth_p50_ms,2.23
baseline,42,auth_p95_ms,135.98
baseline,42,auth_p99_ms,150.78
baseline,42,auth_sla_compliance_pct,79.41
baseline,42,auth_violations_count,21.0
baseline,42,settle_p99_ms,106.1
baseline,42,analyt_p99_ms,698.26
baseline,42,throughput_qps,6828.13
baseline,42,avg_resource_cost,0.02
baseline,42,total_queries,600.0
baseline,100,auth_p50_ms,2.54
baseline,100,auth_p95_ms,128.71
baseline,100,auth_p99_ms,146.75
baseline,100,auth_sla_compliance_pct,78.95
baseline,100,auth_violations_count,20.0
baseline,100,settle_p99_ms,112.47
baseline,100,analyt_p99_ms,700.67
baseline,100,throughput_qps,7247.03
baseline,100,avg_resource_cost,0.02
baseline,100,total_queries,600.0
unconstrained,42,auth_p50_ms,0.84
unconstrained,42,auth_p95_ms,4.25
unconstrained,42,auth_p99_ms,4.69
unconstrained,42,auth_sla_compliance_pct,100.0
unconstrained,42,auth_violations_count,0.0
unconstrained,42,settle_p99_ms,109.55
unconstrained,42,analyt_p99_ms,696.52
unconstrained,42,throughput_qps,1580.35
unconstrained,42,avg_resource_cost,0.09
unconstrained,42,total_queries,600.0
unconstrained,100,auth_p50_ms,0.86
unconstrained,100,auth_p95_ms,3.81
unconstrained,100,auth_p99_ms,4.35
unconstrained,100,auth_sla_compliance_pct,100.0
unconstrained,100,auth_violations_count,0.0
unconstrained,100,settle_p99_ms,112.27
unconstrained,100,analyt_p99_ms,703.8
unconstrained,100,throughput_qps,1388.65
unconstrained,100,avg_resource_cost,0.09
unconstrained,100,total_queries,600.0
constrained,42,auth_p50_ms,0.88
constrained,42,auth_p95_ms,3.87
constrained,42,auth_p99_ms,4.82
constrained,42,auth_sla_compliance_pct,100.0
constrained,42,auth_violations_count,0.0
constrained,42,settle_p99_ms,109.57
constrained,42,analyt_p99_ms,711.93
constrained,42,throughput_qps,1353.1
constrained,42,avg_resource_cost,0.09
constrained,42,total_queries,600.0
constrained,100,auth_p50_ms,0.93
constrained,100,auth_p95_ms,3.78
constrained,100,auth_p99_ms,3.98
constrained,100,auth_sla_compliance_pct,100.0
constrained,100,auth_violations_count,0.0
constrained,100,settle_p99_ms,107.08
constrained,100,analyt_p99_ms,658.1
constrained,100,throughput_qps,1336.3
constrained,100,avg_resource_cost,0.09
constrained,100,total_queries,600.0
